Sección,Promedio de aciertos correctoso,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,0,Pre - A1,37, - 
Listening,14,A1 +,12,14
Reading,24,A1,18,24
