group,correct_answers_listening,correct_answers_reading_writing,correct_answers_speaking_part_1,correct_answers_speaking_part_2,correct_answers_speaking,reviewer_answers_listening,reviewer_answers_reading_writing,reviewer_answers_speaking_part_1,reviewer_answers_speaking_part_2,qualification_speaking_part_1,qualification_speaking_part_2,qualification_speaking,qualification_listening,qualification_reading,percentage_correct_listening,percentage_correct_reading_writing,percentage_correct_speaking_part_1,percentage_correct_speaking_part_2,percentage_correct_speaking,percentage_correct,Top
B,15,22,3,3,3,19,19,3,3,1,1,1,3,2,60.0,55.00000000000001,37.5,37.5,37.5,50.833333333333336,1
A,12,18,2,2,2,19,21,2,2,1,1,1,2,1,48.0,45.0,25.0,25.0,25.0,39.333333333333336,2
