seccion,calificacion,cantidad
speak 1,Pre - A1,13
speak 1,A1,10
speak 1,A2,14
speak 2,Pre - A1,14
speak 2,A1,8
speak 2,A2,15
reading,Pre - A1,4
reading,A1 -,5
reading,A1,9
reading,A1 +,2
reading,A2 -,4
reading,A2,7
reading,A2 +,6
listening,Pre - A1,6
listening,A1 -,3
listening,A1,7
listening,A1 +,7
listening,A2 -,6
listening,A2,3
listening,A2 +,5
