Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,8
speak 1,A1,35
speak 1,A2,24
speak 2,Pre - A1,10
speak 2,A1,32
speak 2,A2,25
reading,Pre - A1,0
reading,A1 -,3
reading,A1,3
reading,A1 +,2
reading,A2 -,15
reading,A2,17
reading,A2 +,26
listening,Pre - A1,1
listening,A1 -,7
listening,A1,8
listening,A1 +,14
listening,A2 -,11
listening,A2,20
listening,A2 +,6
