Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,26
speak 1,A1,35
speak 1,A2,27
speak 2,Pre - A1,21
speak 2,A1,38
speak 2,A2,29
reading,Pre - A1,1
reading,A1 -,1
reading,A1,9
reading,A1 +,12
reading,A2 -,19
reading,A2,33
reading,A2 +,13
listening,Pre - A1,0
listening,A1 -,7
listening,A1,9
listening,A1 +,17
listening,A2 -,20
listening,A2,15
listening,A2 +,20
