Sección,Promedio de aciertos correctoso,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,4,A1,25, - 
Listening,15,A1 +,9,16
Reading,25,A1 +,17,26
