Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,4,A1,19, - 
Listening,20,A2,20,12
Reading,29,A1 +,22,13
