seccion,calificacion,cantidad
speak 1,Pre - A1,17
speak 1,A1,15
speak 1,A2,10
speak 2,Pre - A1,14
speak 2,A1,16
speak 2,A2,12
reading,Pre - A1,6
reading,A1 -,7
reading,A1,5
reading,A1 +,6
reading,A2 -,3
reading,A2,8
reading,A2 +,7
listening,Pre - A1,5
listening,A1 -,2
listening,A1,8
listening,A1 +,4
listening,A2 -,6
listening,A2,11
listening,A2 +,6
