Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,17
speak 1,A1,29
speak 1,A2,22
speak 2,Pre - A1,14
speak 2,A1,36
speak 2,A2,18
reading,Pre - A1,3
reading,A1 -,2
reading,A1,5
reading,A1 +,7
reading,A2 -,15
reading,A2,22
reading,A2 +,14
listening,Pre - A1,0
listening,A1 -,2
listening,A1,9
listening,A1 +,18
listening,A2 -,13
listening,A2,16
listening,A2 +,10
