Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_3.1_3,100.0,53.0
2,reading_3.1_1,100.0,53.0
3,reading_3.1_2,100.0,53.0
4,reading_3.1_5,98.11,52.0
5,reading_3.1_4,94.34,50.0
6,reading_4.2_1,90.57,48.0
7,reading_4.1_1,90.57,48.0
