seccion,calificacion,cantidad
speak 1,Pre - A1,11
speak 1,A1,19
speak 1,A2,64
speak 2,Pre - A1,12
speak 2,A1,22
speak 2,A2,60
reading,Pre - A1,1
reading,A1 -,1
reading,A1,6
reading,A1 +,11
reading,A2 -,14
reading,A2,31
reading,A2 +,30
listening,Pre - A1,0
listening,A1 -,3
listening,A1,5
listening,A1 +,25
listening,A2 -,17
listening,A2,23
listening,A2 +,21
