Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_3.1_2,100.0,52.0
2,reading_3.1_5,98.08,51.0
3,reading_3.1_1,98.08,51.0
4,reading_3.1_3,96.15,50.0
5,reading_4.1_1,96.15,50.0
6,reading_3.2_3,96.15,50.0
7,reading_3.1_4,94.23,49.0
