seccion,calificacion,cantidad,genero
speak 1,Pre - A1,15,0
speak 1,A1,17,0
speak 1,A2,10,0
speak 1,Pre - A1,11,1
speak 1,A1,16,1
speak 1,A2,15,1
speak 2,Pre - A1,8,0
speak 2,A1,4,0
speak 2,A2,7,0
speak 2,Pre - A1,5,1
speak 2,A1,5,1
speak 2,A2,8,1
reading,Pre - A1,5,0
reading,A1 -,5,0
reading,A1,4,0
reading,A1 +,3,0
reading,A2 -,7,0
reading,A2,9,0
reading,A2 +,9,0
reading,Pre - A1,5,1
reading,A1 -,9,1
reading,A1,5,1
reading,A1 +,11,1
reading,A2 -,8,1
reading,A2,2,1
reading,A2 +,15,1
listening,Pre - A1,1,0
listening,A1 -,3,0
listening,A1,5,0
listening,A1 +,1,0
listening,A2 -,3,0
listening,A2,7,0
listening,A2 +,5,0
listening,Pre - A1,5,1
listening,A1 -,2,1
listening,A1,0,1
listening,A1 +,8,1
listening,A2 -,4,1
listening,A2,4,1
listening,A2 +,2,1
