seccion,calificacion,cantidad
speak 1,Pre - A1,8
speak 1,A1,16
speak 1,A2,13
speak 2,Pre - A1,10
speak 2,A1,19
speak 2,A2,8
reading,Pre - A1,7
reading,A1 -,3
reading,A1,9
reading,A1 +,6
reading,A2 -,3
reading,A2,6
reading,A2 +,3
listening,Pre - A1,3
listening,A1 -,2
listening,A1,9
listening,A1 +,2
listening,A2 -,8
listening,A2,8
listening,A2 +,5
