Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,2,A1,26,2
Speaking Part 2,2,A1,16,1
Listening,15,A1 +,13,14
Reading,27,A1 +,17,27
