Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_1_2,9.46,7.0
2,reading_1_9,16.22,12.0
3,reading_1_8,17.57,13.0
4,reading_1_3,27.03,20.0
5,reading_1_7,27.03,20.0
6,reading_1_6,28.38,21.0
7,reading_2_1,29.73,22.0
