Sección,Aciertos promedio,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,0,Pre - A1,26, - 
Listening,13,A1,13,9
Reading,24,A1,14,10
