Porcentaje de error de revisores,Frecuencia
2.5,13
1.25,12
3.25,9
0.0,8
5.75,6
7.0,3
4.5,3
3.75,2
6.5,2
5.25,1
2.0,1
31.25,1
12.5,1
8.75,1
10.5,1
4.0,1
7.75,1
