Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,438
speak 1,A1,693
speak 1,A2,256
speak 2,Pre - A1,445
speak 2,A1,706
speak 2,A2,236
reading,Pre - A1,85
reading,A1 -,104
reading,A1,234
reading,A1 +,245
reading,A2 -,296
reading,A2,269
reading,A2 +,151
listening,Pre - A1,21
listening,A1 -,160
listening,A1,327
listening,A1 +,394
listening,A2 -,181
listening,A2,200
listening,A2 +,101
