Zona,Municipio,Promedio de aciertos en los examenes para la sección Speaking parte 2,Calificacion promedio en los examenes para la sección Speaking parte 2,Promedio de aciertos en la sección de Speaking parte 2 asignada por revisores
A,Río Bravo,3,A1,3
A,Reynosa,2,A1,2
