Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,3,A1,395,3
Speaking Part 2,3,A1,375,3
Listening,18,A2 -,237,15
Reading,29,A1 +,277,22
