Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,417
speak 1,A1,678
speak 1,A2,372
speak 2,Pre - A1,403
speak 2,A1,699
speak 2,A2,365
reading,Pre - A1,76
reading,A1 -,79
reading,A1,216
reading,A1 +,205
reading,A2 -,323
reading,A2,369
reading,A2 +,196
listening,Pre - A1,26
listening,A1 -,154
listening,A1,295
listening,A1 +,388
listening,A2 -,206
listening,A2,268
listening,A2 +,128
