Zona,Municipio,Promedio de aciertos correctos para la sección Speaking parte 1,Calificación promedio para la sección Speaking parte 1,Promedio de aciertos en la sección de Speaking parte 1 asignada por revisores
Norte,Río Bravo,3,A1,3
Norte,Reynosa,3,A1,2
Norte,Nvo. Laredo,3,A1,2
Norte,Matamoros,3,A1,3
