Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección
Speaking Part 1,3,A1,1533
Speaking Part 2,3,A1,1610
Listening,16,A1 +,550
Reading,27,A1 +,819
