Zona,Municipio,Promedio de aciertos en los examenes para la sección Speaking parte 2,Calificacion promedio en los examenes para la sección Speaking parte 2,Promedio de aciertos en la sección de Speaking parte 2 asignada por revisores
B,Cd. Victoria,2,A1,3
B,Padilla,1,A1,1
