Zona,Municipio,Promedio de aciertos en los examenes para la sección Listening,Calificacion promedio en los examenes para la sección Reading/Writing,Promedio de aciertos en la sección de Reading/Writing asignada por revisores
A,Río Bravo,23,A1,19
A,Reynosa,25,A1 +,21
