Zona,Municipio,Promedio de aciertos correctos para la sección Speaking,Calificación promedio para la sección Speaking
Norte,Río Bravo,3,A1
Norte,Reynosa,2,A1
Norte,Nvo. Laredo,3,A1
Norte,Matamoros,3,A1
Norte,Soto la Marina,2,A1
