Zona,Municipio,Promedio de aciertos correctos para la sección Listening,Calificación promedio para la sección Listening,Promedio de aciertos en la sección de Listening asignada por revisores
Centro,Cd. Victoria,16,A1 +,16
Centro,Padilla,17,A2 -,13
