Sección,Aciertos promedio,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,2,A1,421, - 
Listening,16,A1 +,202,16
Reading,27,A1 +,338,24
