Zona,Municipio,Promedio de aciertos correctos para la sección Speaking parte 2,Calificación promedio para la sección Speaking parte 2,Promedio de aciertos en la sección de Speaking parte 2 asignada por revisores
Norte,Río Bravo,2,A1,3
Norte,Reynosa,2,A1,2
Norte,Nvo. Laredo,2,A1,2
Norte,Matamoros,2,A1,3
Norte,Soto la Marina,1,A1,2
