Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,3,A1,458, - 
Listening,17,A2 -,267,15
Reading,28,A1 +,320,22
