Zona,Municipio,Promedio de aciertos en los examenes para la sección Listening,Calificacion promedio en los examenes para la sección Listening,Promedio de aciertos en la sección de Listening asignada por revisores
A,Río Bravo,14,A1 +,15
A,Reynosa,16,A1 +,14
