Zona,Municipio,Promedio de aciertos en los examenes para la sección Listening,Calificacion promedio en los examenes para la sección Reading/Writing,Promedio de aciertos en la sección de Reading/Writing asignada por revisores
B,Cd. Victoria,27,A1 +,24
B,Padilla,29,A1 +,17
