municipality,Unnamed: 0,Edad,gender,group,school_name,CCT,qualification_speaking_part1,qualification_speaking_part2,qualification_listening,qualification_reading,zone,school_number,qualification_speaking
Matamoros,3916.0,12.0,0.0,2.0,60.0,60.0,1.0,1.0,3.0,3.0,A,20.0,1.0
Rio Bravo,3981.0,12.0,0.0,2.0,18.0,18.0,1.0,1.0,3.0,3.0,A,4.0,1.0
Reynosa,3842.0,12.0,1.0,2.0,57.0,57.0,1.0,1.0,3.0,3.0,A,15.0,1.0
Nvo. Laredo,3849.0,12.0,1.0,2.0,56.0,56.0,1.0,1.0,3.0,3.0,A,15.0,1.0
