Zona,Municipio,Promedio de aciertos correctos para la sección Listening,Calificación promedio para la sección Listening,Promedio de aciertos en la sección de Listening asignada por revisores
Sur,Tula,16,A1 +,11
Sur,Cd. Madero,19,A2 -,16
Sur,Tampico,17,A2 -,12
Sur,Altamira,16,A1 +,15
