Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,100,Masculino
speak 1,A1,63,Masculino
speak 1,A2,30,Masculino
speak 2,Pre - A1,95,Masculino
speak 2,A1,64,Masculino
speak 2,A2,34,Masculino
reading,Pre - A1,12,Masculino
reading,A1 -,20,Masculino
reading,A1,37,Masculino
reading,A1 +,30,Masculino
reading,A2 -,44,Masculino
reading,A2,30,Masculino
reading,A2 +,20,Masculino
listening,Pre - A1,5,Masculino
listening,A1 -,26,Masculino
listening,A1,50,Masculino
listening,A1 +,47,Masculino
listening,A2 -,24,Masculino
listening,A2,27,Masculino
listening,A2 +,12,Masculino
speak 1,Pre - A1,84,Femenino
speak 1,A1,68,Femenino
speak 1,A2,39,Femenino
speak 2,Pre - A1,89,Femenino
speak 2,A1,68,Femenino
speak 2,A2,34,Femenino
reading,Pre - A1,6,Femenino
reading,A1 -,5,Femenino
reading,A1,26,Femenino
reading,A1 +,34,Femenino
reading,A2 -,46,Femenino
reading,A2,44,Femenino
reading,A2 +,30,Femenino
listening,Pre - A1,3,Femenino
listening,A1 -,22,Femenino
listening,A1,32,Femenino
listening,A1 +,55,Femenino
listening,A2 -,27,Femenino
listening,A2,33,Femenino
listening,A2 +,18,Femenino
