Sección,Aciertos promedio,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,2.0,A1,131.0,3.0
Speaking Part 2,2.0,A1,132.0,3.0
Listening,17.0,A2 -,90.0,15.0
Reading,27.0,A1 +,102.0,23.0
