Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_3.1_2,97.84,5291.0
2,reading_3.1_4,94.34,5102.0
3,reading_3.1_1,94.32,5101.0
4,reading_3.1_5,94.32,5101.0
5,reading_3.1_3,93.27,5044.0
6,reading_3.2_3,92.92,5025.0
7,reading_4.1_1,90.42,4890.0
