Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,1973
speak 1,A1,2821
speak 1,A2,1327
speak 2,Pre - A1,1882
speak 2,A1,2938
speak 2,A2,1301
reading,Pre - A1,403
reading,A1 -,455
reading,A1,985
reading,A1 +,975
reading,A2 -,1185
reading,A2,1336
reading,A2 +,742
listening,Pre - A1,134
listening,A1 -,732
listening,A1,1266
listening,A1 +,1556
listening,A2 -,842
listening,A2,932
listening,A2 +,630
