Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,2,A1,74,2
Speaking Part 2,2,A1,90,3
Listening,14,A1 +,58,14
Reading,24,A1,81,18
