Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,3,A1,133, - 
Listening,14,A1 +,58,14
Reading,24,A1,83,18
