Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,3,A1,370, - 
Listening,16,A1 +,121,12
Reading,28,A1 +,212,17
