Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_3.1_2,97.67,251.0
2,reading_3.2_3,96.11,247.0
3,reading_3.1_1,92.61,238.0
4,reading_3.1_4,92.22,237.0
5,reading_3.1_5,91.44,235.0
6,reading_3.1_3,90.66,233.0
7,listening_4_1,85.6,220.0
