Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_3.1_2,99.37,633.0
2,reading_3.2_3,99.37,633.0
3,reading_3.1_4,95.6,609.0
4,reading_3.1_5,95.29,607.0
5,reading_3.1_1,95.13,606.0
6,reading_3.1_3,94.66,603.0
7,reading_4.1_1,90.74,578.0
