Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_3.1_2,97.83,947.0
2,reading_3.1_4,94.63,916.0
3,reading_3.1_5,94.11,911.0
4,reading_3.1_1,93.9,909.0
5,reading_3.1_3,93.6,906.0
6,reading_3.2_3,91.94,890.0
7,reading_4.1_1,89.88,870.0
