Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_3.1_2,98.71,1226.0
2,reading_3.1_1,96.3,1196.0
3,reading_3.1_4,95.73,1189.0
4,reading_3.1_5,95.49,1186.0
5,reading_3.1_3,94.69,1176.0
6,reading_3.2_3,90.9,1129.0
7,reading_4.1_1,89.94,1117.0
