CCT,correct_answers_listening,correct_answers_reading_writing,correct_answers_speaking_part_1,correct_answers_speaking_part_2,correct_answers_speaking,reviewer_answers_listening,reviewer_answers_reading_writing,reviewer_answers_speaking_part_1,reviewer_answers_speaking_part_2,qualification_speaking_part_1,qualification_speaking_part_2,qualification_speaking,qualification_listening,qualification_reading,percentage_correct_listening,percentage_correct_reading_writing,percentage_correct_speaking_part_1,percentage_correct_speaking_part_2,percentage_correct_speaking,percentage_correct,Top
EMILIANO ZAPATA - 28DPR1412K,20,29,5,4,4,12,13,5,5,2,1,1,5,3,80.0,72.5,62.5,50.0,56.25,69.58333333333333,1
ARMANDO BARBA - 28DPR1343E,20,29,5,4,4,15,18,5,5,2,1,1,5,3,80.0,72.5,62.5,50.0,56.25,69.58333333333333,2
ARTICULO 3 CONSTITUCIONAL - 28DPR2045M,20,34,3,3,3,20,34,6,6,1,1,1,5,5,80.0,85.0,37.5,37.5,37.5,67.5,3
PROFA. MA. GUADALUPE GARCIA GARCIA - 28DPR0283Z,19,32,3,4,4,18,32,3,4,1,1,1,4,4,76.0,80.0,37.5,50.0,43.75,66.58333333333333,4
GERARDO GOMEZ CASTILLO - 28DPR1414I,17,29,4,3,4,15,23,3,3,1,1,1,4,3,68.0,72.5,50.0,37.5,43.75,61.416666666666664,5
PROFA. AURELIA GARCIA RODRIGUEZ - 28DPR1332Z,18,31,3,2,3,18,30,3,3,1,1,1,4,4,72.0,77.5,37.5,25.0,31.25,60.25,6
PROFA. JUANA MARIA CABRERA SALINAS - 28DPR2334D,15,26,3,3,3,10,15,2,3,1,1,1,3,3,60.0,65.0,37.5,37.5,37.5,54.166666666666664,7
