Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,2,A1,41,1
Speaking Part 2,2,A1,27,1
Listening,17,A2 -,16,13
Reading,29,A1 +,14,17
