Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,10
speak 1,A1,41
speak 1,A2,1
speak 2,Pre - A1,24
speak 2,A1,27
speak 2,A2,1
reading,Pre - A1,3
reading,A1 -,2
reading,A1,5
reading,A1 +,9
reading,A2 -,16
reading,A2,15
reading,A2 +,2
listening,Pre - A1,0
listening,A1 -,3
listening,A1,14
listening,A1 +,14
listening,A2 -,1
listening,A2,9
listening,A2 +,11
