Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_3.1_2,97.88,1292.0
2,reading_3.1_1,93.48,1234.0
3,reading_3.2_3,93.41,1233.0
4,reading_3.1_4,93.03,1228.0
5,reading_3.1_5,92.65,1223.0
6,reading_3.1_3,91.59,1209.0
7,reading_4.1_1,88.48,1168.0
