Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_3.1_4,94.82,348.0
2,reading_3.2_3,94.82,348.0
3,reading_3.1_2,94.55,347.0
4,reading_3.1_5,94.28,346.0
5,reading_3.1_1,93.19,342.0
6,reading_4.1_1,92.37,339.0
7,reading_3.1_3,91.83,337.0
