Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,114
speak 1,A1,66
speak 1,A2,42
speak 2,Pre - A1,120
speak 2,A1,59
speak 2,A2,43
reading,Pre - A1,7
reading,A1 -,8
reading,A1,33
reading,A1 +,36
reading,A2 -,64
reading,A2,57
reading,A2 +,17
listening,Pre - A1,8
listening,A1 -,25
listening,A1,42
listening,A1 +,56
listening,A2 -,32
listening,A2,48
listening,A2 +,9
