Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,59
speak 1,A1,32
speak 1,A2,10
speak 2,Pre - A1,66
speak 2,A1,25
speak 2,A2,10
reading,Pre - A1,3
reading,A1 -,4
reading,A1,15
reading,A1 +,23
reading,A2 -,20
reading,A2,21
reading,A2 +,15
listening,Pre - A1,0
listening,A1 -,2
listening,A1,32
listening,A1 +,37
listening,A2 -,13
listening,A2,16
listening,A2 +,1
